	V1
ENSG00000141956.9_chr21_43140236	2.12315577527849
ENSG00000141956.9_chr21_43149067	-0.219943265451766
ENSG00000141956.9_chr21_43153174	-0.203211062182986
ENSG00000141956.9_chr21_43197866	-0.308229846143674
ENSG00000141956.9_chr21_43204147	2.04066618381765
ENSG00000141956.9_chr21_43211208	1.64421113412073
ENSG00000141956.9_chr21_43231824	3.16800924145688
ENSG00000141956.9_chr21_43263201	-0.0765084871166006
ENSG00000141956.9_chr21_43309738	-0.00857536169570283
ENSG00000141956.9_chr21_43322903	-0.290303906350655
ENSG00000141956.9_chr21_43328353	0.746741892377868
ENSG00000141956.9_chr21_43330801	-0.194792887247036
ENSG00000141956.9_chr21_43336774	-0.382544034872621
ENSG00000141956.9_chr21_43341864	0.120399085106307
ENSG00000141956.9_chr21_43353370	-0.171726079852266
ENSG00000141956.9_chr21_43375146	-0.354127535628158
ENSG00000141956.9_chr21_43389626	-0.227369601121312
ENSG00000141956.9_chr21_43396347	-0.109200566134195
ENSG00000141959.12_chr21_45633135	-0.200244491434751
ENSG00000141959.12_chr21_45640673	-0.33361699033712
ENSG00000141959.12_chr21_45642818	-0.394250850754075
ENSG00000141959.12_chr21_45700161	0.714092025554963
ENSG00000141959.12_chr21_45719081	0.324273926831912
ENSG00000141959.12_chr21_45779605	-0.358330568263826
ENSG00000142149.4_chr21_33161193	-0.228344331360769
ENSG00000142149.4_chr21_33171988	0.045317885135783
ENSG00000142149.4_chr21_33172372	-0.140344086344927
ENSG00000142149.4_chr21_33178655	-0.258782871349436
ENSG00000142149.4_chr21_33186533	-0.150912344021661
ENSG00000142149.4_chr21_33193898	-0.0420503147817433
ENSG00000142149.4_chr21_33198002	0.0373831520203427
ENSG00000142149.4_chr21_33207464	-0.14924013354221
ENSG00000142149.4_chr21_33210309	-0.26080116594414
ENSG00000142149.4_chr21_33229862	-0.152040597920653
ENSG00000142149.4_chr21_33237311	-0.202788644696621
ENSG00000142149.4_chr21_33237529	-0.324736949737409
ENSG00000142149.4_chr21_33272759	-0.0100991086070313
ENSG00000142149.4_chr21_33278299	0.0340526621078123
