	Artery-Aorta	Artery-Tibial	Lung
ENSG00000141956.9_chr21_43140236	0.0544647919027356	0.0467383798513258	0.0485698882576514
ENSG00000141956.9_chr21_43149067	0.0258315195541366	0.0288941785770775	0.0242649517321073
ENSG00000141956.9_chr21_43153174	0.0270518103002084	0.0300861627951549	0.0270461024411264
ENSG00000141956.9_chr21_43197866	0.0212284239145642	0.020897059722733	0.0260944471151885
ENSG00000141956.9_chr21_43204147	0.0518330161883455	0.049368119308114	0.0476928585844211
ENSG00000141956.9_chr21_43211208	0.0676853392877466	0.0577500672215124	0.0590526657955857
ENSG00000141956.9_chr21_43231824	0.0535358182709848	0.0548067813543014	0.0502868167789354
ENSG00000141956.9_chr21_43263201	0.0290982363942803	0.032031960149207	0.0365792857338224
ENSG00000141956.9_chr21_43309738	0.0448877323256961	0.0378659420789726	0.0336372232574302
ENSG00000141956.9_chr21_43322903	0.0217614844129122	0.0211303787191905	0.0250045296204036
ENSG00000141956.9_chr21_43328353	0.0619777463402057	0.059738138296333	0.0603348801625676
ENSG00000141956.9_chr21_43330801	0.0252108905634314	0.0289165101172722	0.0239761744787899
ENSG00000141956.9_chr21_43336774	0.0192127704035819	0.0195374360476684	0.0208230620363217
ENSG00000141956.9_chr21_43341864	0.0409143397777057	0.0413743739271306	0.0447359473848061
ENSG00000141956.9_chr21_43353370	0.0256895260765065	0.0309387557593388	0.0277661790633979
ENSG00000141956.9_chr21_43375146	0.0196558336178705	0.0214017539293175	0.0205175665976071
ENSG00000141956.9_chr21_43389626	0.0213257683574881	0.0260000567545285	0.0227932893651157
ENSG00000141956.9_chr21_43396347	0.036507654689637	0.034199635594411	0.0325533395073659
ENSG00000141959.12_chr21_45633135	0.0241902183380244	0.0294214529433402	0.0255408645022099
ENSG00000141959.12_chr21_45640673	0.0212069792185713	0.0219075404410442	0.0218842979633207
ENSG00000141959.12_chr21_45642818	0.0184881820106868	0.0181589417266178	0.0197503837773423
ENSG00000141959.12_chr21_45700161	0.0618687039056277	0.0552881086125486	0.0552998397286016
ENSG00000141959.12_chr21_45719081	0.0489401145318508	0.0506678786484364	0.0513618272113983
ENSG00000141959.12_chr21_45779605	0.0204427412214062	0.0203426182362912	0.02223667529225
ENSG00000142149.4_chr21_33161193	0.0264445750306971	0.0215955406738747	0.0253478849556334
ENSG00000142149.4_chr21_33171988	0.0367693275859179	0.0364898755235616	0.0370474075716328
ENSG00000142149.4_chr21_33172372	0.0240290662987656	0.0234939188903807	0.0390908478475032
ENSG00000142149.4_chr21_33178655	0.0264580570737277	0.0260484144245249	0.0254787370699323
ENSG00000142149.4_chr21_33186533	0.025524255791936	0.0253259514300208	0.0319535866188461
ENSG00000142149.4_chr21_33193898	0.0267707113019003	0.0304469816989285	0.0327994168504122
ENSG00000142149.4_chr21_33198002	0.0428063626235237	0.0392109359066564	0.0332469865637359
ENSG00000142149.4_chr21_33207464	0.023289837977406	0.022687403891585	0.0357120609584248
ENSG00000142149.4_chr21_33210309	0.0215952932942883	0.0241775962969604	0.0223435579117771
ENSG00000142149.4_chr21_33229862	0.0322339087011811	0.0325589903575347	0.0304993722958075
ENSG00000142149.4_chr21_33237311	0.0225826845047299	0.0236126593617237	0.0328446408405376
ENSG00000142149.4_chr21_33237529	0.0221989834025871	0.0212877554726487	0.0215955724417592
ENSG00000142149.4_chr21_33272759	0.0283627142716139	0.0393189681664841	0.0274934452808124
ENSG00000142149.4_chr21_33278299	0.0306951609303257	0.0363742686923756	0.0399995429659202
ENSG00000142149.4_chr21_33296579	0.0247591249839686	0.0218994731976415	0.0359178680763009
ENSG00000142149.4_chr21_33323493	0.0373687644831126	0.0435807677406265	0.0435757320896206
ENSG00000142149.4_chr21_33324518	0.0214269554630839	0.022151335240582	0.0248884484168099
ENSG00000142149.4_chr21_33330598	0.0185459077221086	0.019240801156791	0.0208053513447445
ENSG00000142149.4_chr21_33341028	0.0461804633817023	0.0474163302046803	0.0408123375473105
ENSG00000142149.4_chr21_33341116	0.0218681980666928	0.0244910709007543	0.0246213825068394
ENSG00000142149.4_chr21_33345874	0.0179526488949858	0.0179951760156246	0.0198570678704024
ENSG00000142149.4_chr21_33352385	0.0231419044255894	0.0202455391918795	0.0213813949262811
ENSG00000142149.4_chr21_33354151	0.0236895802003745	0.0206689967350669	0.0211202912902464
ENSG00000142149.4_chr21_33362831	0.0278050364185101	0.0243407561452819	0.029091960075908
ENSG00000142149.4_chr21_33373967	0.0254290193127357	0.0253720066920722	0.0255094704469001
ENSG00000142149.4_chr21_33380551	0.0391485381577215	0.0377567365809551	0.0303088940924555
ENSG00000142149.4_chr21_33418498	0.0190513918233669	0.0216782100547699	0.0201071387555778
ENSG00000142149.4_chr21_33420429	0.0290105523814029	0.0286204900340674	0.0293039027694481
ENSG00000142149.4_chr21_33433214	0.0349024860922505	0.0321448490607391	0.0362616067627071
ENSG00000142149.4_chr21_33439385	0.0525078657402255	0.0493887711034364	0.0551841784101184
ENSG00000142149.4_chr21_33441864	0.0270134187392733	0.0265838461655868	0.0350854847097837
ENSG00000142149.4_chr21_33461876	0.0191413592462018	0.0209253351751982	0.0197711682491033
ENSG00000142149.4_chr21_33481459	0.0344343483597931	0.0492893281751087	0.0349624802189994
ENSG00000142149.4_chr21_33505772	0.0259761480753326	0.0262105278045521	0.037039403676618
ENSG00000142156.10_chr21_47339729	0.079959303986164	0.0610365649105664	0.0639549694042205
ENSG00000142156.10_chr21_47400075	0.0519186039695596	0.0455853074491792	0.0528365479121183
ENSG00000142156.10_chr21_47436409	0.0623717268674371	0.0483734301135073	0.0648939558608529
ENSG00000142156.10_chr21_47449975	0.0272055700248157	0.02735686727168	0.026923744081562
ENSG00000142156.10_chr21_47473611	0.0664552886661367	0.0600554345466355	0.0579646952370714
ENSG00000142156.10_chr21_47499809	0.0182986192002421	0.0185486614756435	0.0231153047485908
