	V1
ENSG00000141956.9_chr21_43140236	2.11065570495494
ENSG00000141956.9_chr21_43149067	-0.219070417633489
ENSG00000141956.9_chr21_43153174	-0.20335442966347
ENSG00000141956.9_chr21_43197866	-0.305413661315136
ENSG00000141956.9_chr21_43204147	2.04395996104765
ENSG00000141956.9_chr21_43211208	1.63790065441429
ENSG00000141956.9_chr21_43231824	3.19976396007588
ENSG00000141956.9_chr21_43263201	-0.0758802948643867
ENSG00000141956.9_chr21_43309738	-0.00726268652961922
ENSG00000141956.9_chr21_43322903	-0.284372573563217
ENSG00000141956.9_chr21_43328353	0.749740490446133
ENSG00000141956.9_chr21_43330801	-0.190738305621478
ENSG00000141956.9_chr21_43336774	-0.380521941849725
ENSG00000141956.9_chr21_43341864	0.122382489015284
ENSG00000141956.9_chr21_43353370	-0.174058235993133
ENSG00000141956.9_chr21_43375146	-0.352332744264698
ENSG00000141956.9_chr21_43389626	-0.229253940418056
ENSG00000141956.9_chr21_43396347	-0.108367233870801
ENSG00000141959.12_chr21_45633135	-0.202093877323859
ENSG00000141959.12_chr21_45640673	-0.330618511887976
ENSG00000141959.12_chr21_45642818	-0.392260587117965
ENSG00000141959.12_chr21_45700161	0.701707785980327
ENSG00000141959.12_chr21_45719081	0.322151016050684
ENSG00000141959.12_chr21_45779605	-0.356367424940283
ENSG00000142149.4_chr21_33161193	-0.228424974734146
ENSG00000142149.4_chr21_33171988	0.0635109659609721
ENSG00000142149.4_chr21_33172372	-0.135456828474241
ENSG00000142149.4_chr21_33178655	-0.257133246174201
ENSG00000142149.4_chr21_33186533	-0.140218381940776
ENSG00000142149.4_chr21_33193898	-0.0437630210287037
ENSG00000142149.4_chr21_33198002	0.0535348247286982
ENSG00000142149.4_chr21_33207464	-0.147625714587071
ENSG00000142149.4_chr21_33210309	-0.262705934270308
ENSG00000142149.4_chr21_33229862	-0.151121291277889
ENSG00000142149.4_chr21_33237311	-0.200017741636241
ENSG00000142149.4_chr21_33237529	-0.320218015234306
ENSG00000142149.4_chr21_33272759	-0.0143274761962186
ENSG00000142149.4_chr21_33278299	0.0303989709494106
ENSG00000142149.4_chr21_33296579	-0.145607062557048
ENSG00000142149.4_chr21_33323493	0.126143513823349
ENSG00000142149.4_chr21_33324518	-0.279460505347884
ENSG00000142149.4_chr21_33330598	-0.368889968279822
ENSG00000142149.4_chr21_33341028	0.134495989789409
ENSG00000142149.4_chr21_33341116	-0.283883467525265
ENSG00000142149.4_chr21_33345874	-0.400101107657775
ENSG00000142149.4_chr21_33352385	-0.32702799588861
ENSG00000142149.4_chr21_33354151	-0.326131384133875
ENSG00000142149.4_chr21_33362831	-0.213151843018006
ENSG00000142149.4_chr21_33373967	-0.21326911642331
ENSG00000142149.4_chr21_33380551	-5.72694741253803e-05
ENSG00000142149.4_chr21_33418498	-0.353756560347867
ENSG00000142149.4_chr21_33420429	-0.19472697291852
ENSG00000142149.4_chr21_33433214	-0.081717718645279
ENSG00000142149.4_chr21_33439385	0.33621976742195
ENSG00000142149.4_chr21_33441864	-0.151603178239379
ENSG00000142149.4_chr21_33461876	-0.369040447225369
ENSG00000142149.4_chr21_33481459	0.243644321930546
ENSG00000142149.4_chr21_33505772	-0.12417823485918
ENSG00000142156.10_chr21_47339729	3.54735599385951
ENSG00000142156.10_chr21_47400075	4.62863624403912
ENSG00000142156.10_chr21_47436409	8.41047569820925
ENSG00000142156.10_chr21_47449975	-0.146938082022509
ENSG00000142156.10_chr21_47473611	1.16775479294677
ENSG00000142156.10_chr21_47499809	-0.356255912855963
ENSG00000142166.8_chr21_34601289	-0.398075287654776
ENSG00000142166.8_chr21_34603311	-0.01244709688055
ENSG00000142166.8_chr21_34609384	-0.36472815092192
ENSG00000142166.8_chr21_34609672	-0.117340114142975
ENSG00000142166.8_chr21_34624387	-0.31611580475419
ENSG00000142166.8_chr21_34655335	-0.361553044576413
ENSG00000142166.8_chr21_34660687	-0.15799542025544
ENSG00000142166.8_chr21_34691518	2.18702501360351
ENSG00000142166.8_chr21_34699091	5.62366034537262
ENSG00000142166.8_chr21_34709934	0.518445860378285
ENSG00000142166.8_chr21_34716468	-0.0725084322178395
ENSG00000142166.8_chr21_34736136	0.663509467584701
ENSG00000142166.8_chr21_34740563	3.17904668254729
ENSG00000142166.8_chr21_34764162	0.0875892011897488
ENSG00000142166.8_chr21_34767684	0.142008825829773
ENSG00000142166.8_chr21_34770958	-0.369799881125587
ENSG00000142166.8_chr21_34791767	0.171879432804521
ENSG00000142166.8_chr21_34802445	-0.210810466583709
